Cpu,Ram,Gpu,OpSys,Price,Category,Label number
B,8,S,WI,92970,Data Scientist,10
C,8,S,WI,92970,Data Scientist,10
C,8,R,WI,93048,Data Scientist,10
C,8,S,WI,93436,Data Scientist,10
C,8,R,WI,93591,Data Scientist,10
B,8,S,WI,94056,Data Scientist,10
C,8,T,MA,94241,Data Scientist,10
C,8,S,WI,94521,Data Scientist,10
C,16,R,WI,94540,Data Scientist,10
C,8,S,WI,94909,Data Scientist,10
B,8,R,WI,95297,Data Scientist,10
C,8,T,MA,95340,Data Scientist,10
B,4,S,WI,96460,Data Scientist,10
D,8,R,WI,96847,Data Scientist,10
D,12,S,WI,96847,Data Scientist,10
D,16,R,WI,96868,Data Scientist,10
B,8,S,WI,97545,Data Scientist,10
C,16,R,WI,97855,Data Scientist,10
C,8,R,WI,97855,Data Scientist,10
D,8,S,MA,97886,Data Scientist,10
D,8,R,WI,98088,Data Scientist,10
B,4,S,WI,98088,Data Scientist,10
C,8,R,WI,98321,Data Scientist,10
C,8,S,WI,98321,Data Scientist,10
C,24,S,WI,98398,Data Scientist,10
C,8,S,WI,98398,Data Scientist,10
C,16,R,WI,98553,Data Scientist,10
C,8,R,CH,98864,Data Scientist,10
C,16,R,WI,99174,Data Scientist,10
C,32,S,WI,99174,Data Scientist,10
C,8,S,WI,99230,Data Scientist,10
C,8,R,WI,99251,Data Scientist,10
B,4,S,WI,99639,Data Scientist,10
C,8,R,WI,100182,Executive,11
D,16,S,WI,100337,Executive,11
C,8,S,WI,100569,Executive,11
C,8,S,WI,100647,Executive,11
C,16,R,WI,100724,Executive,11
C,16,S,WI,100724,Executive,11
D,16,S,WI,100724,Executive,11
D,8,S,WI,100724,Executive,11
C,8,S,WI,100724,Executive,11
D,8,S,WI,100724,Executive,11
D,8,S,WI,100724,Executive,11
C,12,S,WI,100724,Executive,11
C,12,S,WI,100724,Executive,11
D,8,S,WI,100724,Executive,11
C,8,S,WI,101112,Executive,11
B,8,S,WI,101965,Executive,11
C,8,S,WI,102585,Executive,11
C,8,R,WI,103438,Executive,11
C,8,R,WI,103516,Executive,11
D,8,S,WI,103826,Executive,11
C,8,S,MA,103880,Executive,11
B,8,S,WI,103904,Executive,11
B,8,S,WI,103904,Executive,11
B,8,S,WI,104291,Executive,11
D,8,S,WI,104561,Executive,11
C,8,R,WI,104601,Executive,11
D,16,S,WI,104601,Executive,11
D,8,S,WI,104601,Executive,11
D,16,S,WI,104601,Executive,11
B,8,S,WI,104601,Executive,11
B,8,S,WI,104601,Executive,11
C,8,S,WI,104601,Executive,11
C,8,S,WI,104601,Executive,11
D,8,T,WI,104679,Executive,11
B,8,S,WI,105299,Executive,11
C,8,S,WI,105687,Executive,11
B,8,R,WI,105765,Executive,11
B,8,S,WI,106152,Executive,11
C,8,S,WI,106152,Executive,11
C,12,R,WI,106222,Executive,11
C,8,R,WI,106773,Executive,11
